step,tag,value
39056,train/reward_loss_mean,0.2599798000087372
39056,train/reward_loss_std,0.0072601212184342625
39056,train/total_loss_mean,0.05739083520758647
39056,train/total_loss_std,0.001048870578652026
39056,train/value_loss_mean,0.31182146538941624
39056,train/value_loss_std,0.00717972588990332
39056,train/value_scale_mean,105.45180179973761
39056,train/value_scale_std,1.1487726922411674
39056,timing/collect_chunk_s,114.59362964518368
39056,timing/train_chunk_s,4.45466979406774
39056,dense_rhs/training_bucket_horizon,3.0
39056,system/heartbeat,1.0
39992,episode/return,785.5244140625
39992,episode/length,500.0
39993,episode/return,785.968994140625
39993,episode/length,500.0
39994,episode/return,783.6420288085938
39994,episode/length,500.0
39995,episode/return,785.7334594726562
39995,episode/length,500.0
39996,episode/return,787.0520629882812
39996,episode/length,500.0
39997,episode/return,785.5413208007812
39997,episode/length,500.0
39998,episode/return,782.7461547851562
39998,episode/length,500.0
39999,episode/return,784.6273193359375
39999,episode/length,500.0
40000,eval/return_mean,758.4072265625
40000,eval/return_std,0.5797847509384155
40000,eval/return_max,759.4453735351562
40000,eval/return_min,757.315673828125
40000,timing/eval_s,6.263915613293648
40000,eval/selected_horizon,3.0
40000,eval/training_bucket_horizon,3.0
40000,system/heartbeat,1.0
41560,train/consistency_loss_mean,1.0029832964981836e-05
41560,train/consistency_loss_std,3.3971768271362187e-06
41560,train/continue_loss_mean,0.0
41560,train/continue_loss_std,0.0
41560,train/grad_norm_mean,0.11218231401075951
41560,train/grad_norm_std,0.055068148836464915
41560,train/policy_log_std_mean,-1.277856920854733
41560,train/policy_log_std_std,0.6267124786257068
41560,train/policy_loss_mean,-0.5965564656562318
41560,train/policy_loss_std,0.016507546997319
41560,train/reward_loss_mean,0.2583085632743165
41560,train/reward_loss_std,0.007333908750656357
41560,train/total_loss_mean,0.05547271083338192
41560,train/total_loss_std,0.0011495755709438399
41560,train/value_loss_mean,0.2944125729247023
41560,train/value_loss_std,0.009091902534438307
41560,train/value_scale_mean,105.05368509993386
41560,train/value_scale_std,1.5466279695167213
41560,timing/collect_chunk_s,115.49244174174964
41560,timing/train_chunk_s,4.449734583497047
41560,dense_rhs/training_bucket_horizon,3.0
41560,system/heartbeat,1.0
43992,episode/return,806.2744140625
43992,episode/length,500.0
43993,episode/return,805.8182373046875
43993,episode/length,500.0
43994,episode/return,807.4027709960938
43994,episode/length,500.0
43995,episode/return,807.363037109375
43995,episode/length,500.0
43996,episode/return,805.2319946289062
43996,episode/length,500.0
43997,episode/return,807.2501831054688
43997,episode/length,500.0
43998,episode/return,804.7994995117188
43998,episode/length,500.0
43999,episode/return,806.4083862304688
43999,episode/length,500.0
44064,train/consistency_loss_mean,8.417672008723608e-06
